Therapies,
ACTIMMUNE,
ADCETRIS,
ALDESLEUKIN,
ALEMTUZUMAB,
ARZERRA,
ATEZOLIZUMAB,
AVELUMAB,
Yescarta,AXICABTAGENE
AXICABTAGENE CILOLEUCEL,
TICE BCG,BACILLUS CALMETTE-GUERIN
BAVENCIO,
BELANTAMAB,
BESPONSA,
Tositumomab,BEXXAR
IODINE I-131,BEXXAR DOSIMETRIC
BLENREP,
BLINATUMOMAB,
BLINCYTO,
Adcetris,BRENTUXIMAB
Brentuximab vedotin,
brexucabtagene autoleucel,BREXUCABTAGENE
BREYANZI,
CAMPATH,
CEMIPLIMAB,
DARATUMUMAB,
DARZALEX,
DENILEUKIN DIFTITOX,
DURVALUMAB,
ELOTUZUMAB,
ELZONRIS,
EMPLICITI,
GAZYVA,
GEMTUZUMAB OZOGAMICIN,
IBRITUMOMAB TIUXETAN,
IMFINZI,
IMLYGIC,
INOTUZUMAB OZOGAMICIN,
INTERFERON ALFA-2B,
INTERFERON GAMMA-1B,
INTRON A,
IPILIMUMAB,
ISATUXIMAB,
KEYTRUDA,
KYMRIAH,
LENALIDOMIDE,
LIBTAYO,
LISOCABTAGENE MARALEUCEL,
LUMOXITI,
LUSPATERCEPT,
MARGETUXIMAB,
MOGAMULIZUMAB-KPKC,
MONJUVI,
MOXETUMOMAB PASUDOTOX-TDFK,
MYLOTARG,
NIVOLUMAB,
OBINUTUZUMAB,
OFATUMUMAB,
OPDIVO,
PEGASYS,
PEGINTERFERON ALFA-2A,
PEGINTERFERON ALFA-2B,
PEMBROLIZUMAB,
polatuzumab vedotin,POLATUZUMAB
POLIVY,
POMALIDOMIDE,
POMALYST,
POTELIGEO,
PROLEUKIN,
PROVENGE,
REBLOZYL,
REVLIMID,
RITUXAN,
RITUXAN HYCELA,
RITUXIMAB,
RITUXIMAB-ABBS,
RITUXIMAB-PVVR,
RUXIENCE,
SARCLISA,
SILTUXIMAB,
SIPULEUCEL-T,
SYLATRON,
SYLVANT,
TAFASITAMAB,
TAFASITAMAB-CXIX,
TAGRAXOFUSP-ERZS,
TALIMOGENE LAHERPAREPVEC,
TECARTUS,
TECENTRIQ,
THALIDOMIDE,
THALOMID,
TICE BCG,
TISAGENLECLEUCEL,
TOSITUMOMAB,
TOSITUMOMAB, IODINE I-131
TRUXIMA,
YERVOY,
YESCARTA,
